lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
3,1,1,straight,straight,from_left,0,0,1,0,0,1,1,33.29747,6.790858,7.813245,hard,warning
2,0,1,straight,straight,opposite_direction,1,0,1,0,0,0,1,61.59906,6.149184,0.1183424,hard,warning
2,1,0,turn left,stop,opposite_direction,0,0,1,1,0,1,1,0.08089197,5.610909,17.20617,easy,warning
1,0,1,straight,straight,opposite_direction,1,0,0,0,0,0,1,20.00004,6.586244,9.990593,easy,danger
1,1,1,straight,turn_right,from_left,0,0,1,0,0,1,1,17.47173,0.8901563,6.021852,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00006,4.209913,29.97102,hard,warning
1,1,1,turn left,straight,same_direction,0,0,0,0,0,0,0,50.0,6.831115,7.825071,normal,warning
1,1,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00065,5.880393,11.70286,easy,warning
1,0,0,straight,straight,opposite_direction,0,0,1,0,0,0,1,50.00001,3.134932,25.99319,hard,warning
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,59.00022,1.758258,9.872237,hard,danger
1,1,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,34.57545,4.256667,12.2696,normal,warning
1,1,1,turn left,straight,opposite_direction,0,0,0,0,0,0,0,13.66357,4.911067,17.81473,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,19.99991,5.578303,23.72878,easy,warning
2,1,0,turn left,turn left,from_left,0,0,1,1,1,1,1,20.00001,2.172163,12.14454,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,30.99992,5.386122,28.66573,easy,warning
1,0,1,straight,straight,opposite_direction,1,0,0,0,0,0,1,20.00001,6.868524,8.193161,easy,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,24.99912,5.419935,8.283839,hard,warning
1,1,1,straight,straight,opposite_direction,0,1,0,0,0,0,1,50.00068,3.437491,14.11643,easy,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00007,4.44423,4.908726,normal,warning
1,0,1,turn left,stop,opposite_direction,0,0,1,0,1,1,1,8.367816e-05,7.442664,42.10352,normal,warning
1,0,1,straight,straight,opposite_direction,1,0,1,0,0,0,1,39.00004,3.812726,13.46362,normal,warning
2,0,1,straight,straight,opposite_direction,1,0,1,0,0,0,1,33.00067,4.990739,8.132719,hard,warning
