real_risk,lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level
2,1,1,1,2,1,3,0,1,0,0,0,1,50.011,7.21674,2
1,1,0,1,2,2,3,0,0,0,0,0,0,50.0144,38.2203,2
2,2,0,1,2,2,3,0,0,0,0,0,0,22.0899,26.9678,1
2,1,0,1,2,1,3,0,0,0,0,0,0,8.39994e-05,5.86768,1
2,1,0,1,2,4,2,0,0,0,0,0,0,37.2127,6.39514,2
2,2,0,1,4,2,2,1,0,1,0,0,0,50.0021,10.5604,1
1,1,0,1,2,2,2,0,0,1,0,0,0,31.0002,28.4469,0
2,4,1,0,3,3,2,0,0,1,1,1,0,20.6701,4.19163,1
1,1,0,1,2,1,3,0,0,0,0,0,0,8.9246e-05,26.004,1
2,1,0,1,2,2,2,0,0,0,0,0,0,50.0001,1.38544,1
1,1,0,1,2,1,3,0,0,0,0,0,0,0.000158362,16.0598,1
2,2,0,1,2,2,3,0,0,0,0,0,0,50.0093,20.562,1
1,2,0,1,1,2,3,0,0,0,0,1,0,27.0073,1.2475,2
2,2,0,1,2,2,3,0,0,1,0,0,0,70.0088,21.9106,0
2,1,0,1,3,3,3,0,0,1,0,0,0,8.0613,12.8671,2
1,4,1,0,2,3,3,0,0,0,0,0,0,20.0046,13.4682,1
1,2,0,1,2,2,3,0,0,0,0,0,0,25.0009,9.86139,1
2,2,1,1,2,2,2,0,0,0,0,0,0,20.0001,46.7019,2
1,1,0,1,2,2,2,0,0,0,0,0,0,20.0002,23.3416,0
2,1,0,1,2,2,2,0,0,0,0,0,0,50.0013,5.62247,0
2,2,1,1,3,2,3,0,0,0,0,0,1,22,12.5376,2
2,2,0,1,2,2,3,0,0,0,0,0,0,40.8311,9.84974,1
2,4,1,0,1,3,0,1,0,0,0,0,0,18.5037,4.66096,1
2,4,1,0,4,3,2,0,0,1,0,0,0,30.0022,22.3497,1
