lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level,real_risk
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,42.1015,15.3724,hard,warning
1,no,yes,straight,straight,same_direction,yes,no,no,no,no,no,56.9178,13.6069,normal,warning
1,yes,yes,stop,turn left,from_left,no,no,yes,no,yes,no,10.4223,8.53432,hard,warning
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,50.0001,16.4173,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,19.9995,43.8139,easy,warning
2,yes,yes,straight,turn_right,same_direction,no,no,no,yes,yes,yes,26.6072,16.1679,normal,collision
2,yes,yes,stop,straight,from_left,no,no,no,no,no,no,28.4906,0.0153437,normal,warning
3,yes,yes,turn left,straight,same_direction,no,no,no,no,yes,no,34.3481,8.8163,hard,warning
2,no,yes,straight,straight,opposite_direction,yes,no,yes,no,no,no,50.0,23.2595,easy,warning
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,20.5048,22.7977,hard,warning
2,yes,no,turn left,turn left,from_left,no,no,yes,yes,yes,yes,20.0,12.1445,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0004,33.5853,normal,warning
2,yes,yes,turn left,straight,same_direction,no,no,no,no,yes,yes,43.1819,16.2142,normal,danger
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,30.0004,13.782,hard,warning
1,no,yes,turn_right,stop,same_direction,no,no,no,no,no,no,10.0802,10.3671,normal,warning
1,yes,yes,turn_right,stop,opposite_direction,yes,no,yes,no,no,yes,22.6293,15.5157,normal,collision
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,51.5923,18.0056,normal,warning
4,yes,no,turn_right,turn left,same_direction,no,no,no,no,no,no,19.5254,18.918,hard,warning
4,yes,no,turn left,turn left,same_direction,no,no,no,no,no,no,30.013,21.7484,hard,warning
1,yes,yes,straight,straight,from_right,yes,yes,yes,no,no,yes,9.56413,11.7272,normal,danger
2,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,20.0003,15.1197,hard,warning
1,yes,yes,stop,stop,same_direction,no,no,no,no,no,no,26.7044,8.68391,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,47.0002,25.7372,hard,warning
1,yes,no,turn_right,stop,opposite_direction,no,no,yes,no,yes,yes,0.000187968,13.1284,hard,collision
1,yes,yes,stop,stop,same_direction,no,no,no,no,no,no,50.0,0.068576,hard,danger
2,yes,yes,turn left,straight,opposite_direction,no,no,yes,no,yes,no,22.0,8.88149,normal,warning
2,yes,no,turn left,turn left,from_right,yes,no,no,no,no,no,30.0,3.46963,hard,warning
2,no,yes,stop,straight,opposite_direction,no,no,no,no,yes,no,13.3364,5.058,normal,warning
2,no,yes,reverse,straight,same_direction,yes,no,no,no,no,no,20.011,8.1407,easy,warning
1,yes,yes,straight,stop,from_left,no,no,yes,no,no,no,10.4361,13.4685,normal,warning
2,yes,yes,turn left,straight,opposite_direction,no,no,no,no,no,no,50.0006,16.0923,hard,warning
2,yes,yes,turn left,straight,same_direction,no,no,no,no,no,yes,43.4698,12.7283,hard,danger
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0015,43.1677,normal,danger
4,yes,no,turn left,turn left,same_direction,no,no,no,no,no,no,30.0001,14.4262,hard,warning
2,yes,yes,turn_right,straight,from_left,no,no,no,no,no,yes,50.0144,12.4091,hard,warning
1,no,yes,turn left,turn left,from_left,no,no,no,no,no,yes,33.7319,0.00412275,easy,danger
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0034,41.7054,hard,danger
1,yes,yes,straight,straight,opposite_direction,no,no,no,no,no,no,50.0036,17.9161,easy,warning
1,no,no,straight,turn left,same_direction,yes,no,no,no,no,no,30.0,14.4277,normal,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0003,13.1101,hard,danger
2,yes,yes,turn left,straight,from_left,no,no,no,no,no,yes,50.0003,24.1599,easy,danger
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0003,45.4208,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,50.0,18.6379,normal,danger
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,2.52,17.3998,normal,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,25.0,51.3201,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.001,34.6875,hard,danger
4,yes,no,turn left,turn left,opposite_direction,no,no,yes,yes,yes,no,20.0004,13.7504,hard,warning
